0000000186,0000012333,034194,092157
0000000187,0000012400,034820,092315
0000000188,0000012467,035467,092443
0000000189,0000012533,036123,092554
0000000190,0000012600,036789,092650
0000000191,0000012667,037475,092715
0000000192,0000012733,038169,092765
0000000193,0000012800,038872,092798
0000000194,0000012867,039592,092801
0000000195,0000012933,040320,092787
0000000196,0000013000,041056,092759
0000000197,0000013067,041807,092698
0000000198,0000013133,042565,092623
0000000199,0000013200,043330,092531
0000000200,0000013267,044107,092409
0000000201,0000013333,044890,092271
0000000202,0000013400,045679,092118
0000000203,0000013467,046479,091934
0000000204,0000013533,047283,091734
0000000205,0000013600,048092,091520
0000000206,0000013667,048909,091276
0000000207,0000013733,049729,091016
0000000208,0000013800,050553,090742
0000000209,0000013867,051383,090438
0000000210,0000013933,052215,090120
0000000211,0000014000,053050,089788
0000000212,0000014067,053888,089427
0000000213,0000014133,054727,089052
0000000214,0000014200,055567,088663
0000000215,0000014267,056409,088247
0000000216,0000014333,057250,087817
0000000217,0000014400,058091,087374
0000000218,0000014467,058932,086905
0000000219,0000014533,059770,086423
0000000220,0000014600,060608,085928
0000000221,0000014667,061442,085409
0000000222,0000014733,062273,084877
0000000223,0000014800,063102,084333
0000000224,0000014867,063925,083767
0000000225,0000014933,064745,083188
0000000226,0000015000,065561,082599
0000000227,0000015067,066368,081988
0000000228,0000015133,067171,081367
0000000229,0000015200,067969,080735
0000000230,0000015267,068756,080083
0000000231,0000015333,069538,079422
0000000232,0000015400,070313,078752
0000000233,0000015467,071076,078063
0000000234,0000015533,071832,077366
0000000235,0000015600,072581,076660
0000000236,0000015667,073314,075938
0000000237,0000015733,074040,075209
0000000238,0000015800,074758,074473
0000000239,0000015867,075459,073722
0000000240,0000015933,076150,072965
0000000241,0000016000,076833,072202
0000000242,0000016067,077496,071426
0000000243,0000016133,078150,070646
0000000244,0000016200,078794,069860
0000000245,0000016267,079416,069064
0000000246,0000016333,080028,068264
0000000247,0000016400,080629,067460
0000000248,0000016467,081207,066649
0000000249,0000016533,081774,065835
0000000250,0000016600,082328,065017
0000000251,0000016667,082859,064195
0000000252,0000016733,083377,063371
0000000253,0000016800,083883,062544
0000000254,0000016867,084362,061715
0000000255,0000016933,084829,060886
0000000256,0000017000,085282,060055
0000000257,0000017067,085709,059225
0000000258,0000017133,086121,058395
0000000259,0000017200,086520,057565
0000000260,0000017267,086891,056737
0000000261,0000017333,087247,055911
0000000262,0000017400,087589,055087
0000000263,0000017467,087901,054267
0000000264,0000017533,088199,053449
0000000265,0000017600,088482,052635
0000000266,0000017667,088735,051827
0000000267,0000017733,088972,051024
0000000268,0000017800,089195,050224
0000000269,0000017867,089386,049433
0000000270,0000017933,089562,048647
0000000271,0000018000,089723,047867
0000000272,0000018067,089852,047097
0000000273,0000018133,089966,046334
0000000274,0000018200,090064,045577
